*     Rice grown in potential water production situation
*     Rice grown in potential N production situation
*     ORYZA model runs to simulate an experiment
*     Rice crop is transplanted
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* FSE driver info:
*     Year: 1991, day: 108, System start
*     Year: 1991, day: 249, System end
*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
 
TIME	YEAR	DOY	CROPSTA	ETD	TRC	EVSC	RAIN	RAINCU	DVS	RDD	TMIN	TMAX	DTR	RAPCDT	PARCUM	NFLV	SLA	SLASIM	LESTRS	LRSTRS	PCEW	NSP	LAI	WAGT	WST	WLVG	WLVD	WLV	WSO	WRR14	ZRT
 
   108.000    	  1991.0    	  108.00    	     0.00000	  4.1947    	     0.00000	  4.1947    	     0.00000	     0.00000	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   109.000    	  1991.0    	  109.00    	     0.00000	  4.2785    	     0.00000	  4.2785    	  60.500    	     0.00000	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   110.000    	  1991.0    	  110.00    	     0.00000	  3.8400    	     0.00000	  3.8400    	  24.000    	  60.500    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   111.000    	  1991.0    	  111.00    	  1.0000    	  3.1201    	     0.00000	  3.1201    	  3.6000    	  84.500    	     0.00000	 1.08601E+07	  7.5000    	  13.600    	 1.08601E+07	 1.99634E+05	     0.00000	 0.50000    	 4.50000E-03	 0.10000    	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.10000    	 2.00000E-02	     0.00000	     0.00000	     0.00000	 1.00000E-02	     0.00000	     0.00000	 1.00000E-04
   112.000    	  1991.0    	  112.00    	  2.0000    	  2.2683    	 0.13696    	  2.1553    	  9.6000    	  88.100    	 1.66872E-03	 1.11603E+07	  9.0000    	  17.000    	 1.11603E+07	 2.10075E+05	 0.19963    	 0.50000    	 4.50000E-03	 0.11611    	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.10222    	  1.7607    	 0.88036    	 0.88036    	     0.00000	 0.88036    	     0.00000	     0.00000	     0.00000
   113.000    	  1991.0    	  113.00    	  2.0000    	  2.0239    	 0.11463    	  1.9189    	 0.60000    	  97.700    	 4.86371E-03	 1.09370E+07	  11.500    	  15.000    	 1.09370E+07	 2.15791E+05	 0.40971    	 0.50000    	 4.50000E-03	 4.50829E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.10656    	  4.7275    	  2.3637    	  2.3637    	     0.00000	  2.3637    	     0.00000	     0.00000	     0.00000
   114.000    	  1991.0    	  114.00    	  2.0000    	  3.5951    	 0.24410    	  3.4004    	     0.00000	  98.300    	 8.21846E-03	 1.94913E+07	  11.200    	  18.500    	 1.94913E+07	 3.91952E+05	 0.62550    	 0.50000    	 4.50000E-03	 2.96670E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.11132    	  7.5046    	  3.7523    	  3.7523    	     0.00000	  3.7523    	     0.00000	     0.00000	     0.00000
   115.000    	  1991.0    	  115.00    	  2.0000    	  3.8860    	 0.26732    	  3.6637    	     0.00000	  98.300    	 1.25956E-02	 2.41293E+07	  9.5000    	  20.400    	 2.41293E+07	 5.10541E+05	  1.0175    	 0.50000    	 4.50000E-03	 1.96066E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.11780    	  12.016    	  6.0082    	  6.0082    	     0.00000	  6.0082    	     0.00000	     0.00000	     0.00000
   116.000    	  1991.0    	  116.00    	  2.0000    	  3.7479    	 0.26443    	  3.5213    	  3.0000    	  98.300    	 1.70366E-02	 2.28666E+07	  10.600    	  22.200    	 2.28666E+07	 5.16151E+05	  1.5280    	 0.50000    	 4.50000E-03	 1.43998E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.12476    	  17.328    	  8.6640    	  8.6640    	     0.00000	  8.6640    	     0.00000	     0.00000	     0.00000
   117.000    	  1991.0    	  117.00    	  2.0000    	  2.2033    	 0.15118    	  2.0608    	  8.5000    	  101.30    	 2.24042E-02	 1.10828E+07	  16.000    	  17.600    	 1.10828E+07	 2.79565E+05	  2.0441    	 0.50000    	 4.50000E-03	 1.12888E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.13367    	  23.681    	  11.841    	  11.841    	     0.00000	  11.841    	     0.00000	     0.00000	     0.00000
   118.000    	  1991.0    	  118.00    	  2.0000    	  2.3754    	 0.18319    	  2.2107    	  2.5000    	  109.80    	 2.80274E-02	 1.11175E+07	  16.000    	  20.400    	 1.11175E+07	 3.01904E+05	  2.3237    	 0.50000    	 4.50000E-03	 1.00878E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.14367    	  28.483    	  14.242    	  14.242    	     0.00000	  14.242    	     0.00000	     0.00000	     0.00000
   119.000    	  1991.0    	  119.00    	  2.0000    	  4.0002    	 0.33499    	  3.6998    	     0.00000	  112.30    	 3.45452E-02	 2.23478E+07	  16.000    	  23.400    	 2.23478E+07	 6.35266E+05	  2.6256    	 0.50000    	 4.50000E-03	 9.10875E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.15612    	  34.280    	  17.140    	  17.140    	     0.00000	  17.140    	     0.00000	     0.00000	     0.00000
   120.000    	  1991.0    	  120.00    	  2.0000    	  2.9787    	 0.27699    	  2.7337    	     0.00000	  112.30    	 4.20215E-02	 1.51401E+07	  15.500    	  22.100    	 1.51401E+07	 4.82970E+05	  3.2609    	 0.50000    	 4.50000E-03	 8.04698E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.17165    	  42.662    	  21.331    	  21.331    	     0.00000	  21.331    	     0.00000	     0.00000	     0.00000
   121.000    	  1991.0    	  121.00    	  2.0000    	  4.5267    	 0.46032    	  4.1218    	     0.00000	  112.30    	 4.89227E-02	 2.57323E+07	  15.600    	  26.400    	 2.57323E+07	 8.70077E+05	  3.7438    	 0.50000    	 4.50000E-03	 7.34865E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.18741    	  51.004    	  25.502    	  25.502    	     0.00000	  25.502    	     0.00000	     0.00000	     0.00000
   122.000    	  1991.0    	  122.00    	  2.0000    	  4.6439    	 0.54823    	  4.1849    	     0.00000	  112.30    	 5.72297E-02	 2.64363E+07	  13.200    	  27.500    	 2.64363E+07	 9.88295E+05	  4.6139    	 0.50000    	 4.50000E-03	 6.81514E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.20811    	  61.074    	  30.537    	  30.537    	     0.00000	  30.537    	     0.00000	     0.00000	     0.00000
   123.000    	  1991.0    	  123.00    	  2.0000    	  4.8403    	 0.62474    	  4.3145    	     0.00000	  112.30    	 6.51214E-02	 2.62149E+07	  15.500    	  28.800    	 2.62149E+07	 1.08068E+06	  5.6022    	 0.50000    	 4.50000E-03	 6.36110E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.22996    	  72.302    	  36.151    	  36.151    	     0.00000	  36.151    	     0.00000	     0.00000	     0.00000
   124.000    	  1991.0    	  124.00    	  2.0000    	  2.7260    	 0.39065    	  2.3966    	  26.200    	  112.30    	 7.41632E-02	 1.13115E+07	  18.600    	  23.100    	 1.13115E+07	 5.49263E+05	  6.6829    	 0.50000    	 4.50000E-03	 6.08579E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.25762    	  84.663    	  42.331    	  42.331    	     0.00000	  42.331    	     0.00000	     0.00000	     0.00000
   125.000    	  1991.0    	  125.00    	  2.0000    	  3.3579    	 0.55283    	  2.9108    	     0.00000	  138.50    	 8.23743E-02	 1.53118E+07	  15.900    	  23.400    	 1.53118E+07	 8.03539E+05	  7.2322    	 0.50000    	 4.50000E-03	 5.97539E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.28576    	  95.645    	  47.823    	  47.823    	     0.00000	  47.823    	     0.00000	     0.00000	     0.00000
   126.000    	  1991.0    	  126.00    	  2.0000    	  3.7332    	 0.61407    	  3.1907    	     0.00000	  138.50    	 8.98187E-02	 1.93163E+07	  17.400    	  26.200    	 1.93163E+07	 1.09463E+06	  8.0357    	 0.50000    	 4.50000E-03	 5.71131E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.31406    	  109.98    	  54.988    	  54.988    	     0.00000	  54.988    	     0.00000	     0.00000	     0.00000
   127.000    	  1991.0    	  127.00    	  2.0000    	  2.8209    	 0.55244    	  2.3670    	     0.00000	  138.50    	 9.86369E-02	 1.13992E+07	  19.100    	  23.600    	 1.13992E+07	 7.42487E+05	  9.1303    	 0.50000    	 4.50000E-03	 5.53138E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.35089    	  126.87    	  63.437    	  63.437    	     0.00000	  63.437    	     0.00000	     0.00000	     0.00000
   128.000    	  1991.0    	  128.00    	  2.0000    	  4.5886    	 0.94303    	  3.7743    	     0.00000	  138.50    	 0.10717    	 2.56129E+07	  16.500    	  26.500    	 2.56129E+07	 1.73692E+06	  9.8728    	 0.50000    	 4.50000E-03	 5.50234E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.39071    	  142.02    	  71.008    	  71.008    	     0.00000	  71.008    	     0.00000	     0.00000	     0.00000
   129.000    	  1991.0    	  129.00    	  2.0000    	  3.4577    	 0.79342    	  2.7811    	     0.00000	  138.50    	 0.11579    	 1.67601E+07	  18.500    	  24.500    	 1.67601E+07	 1.29773E+06	  11.610    	 0.50000    	 4.50000E-03	 5.31494E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.43555    	  163.89    	  81.947    	  81.947    	     0.00000	  81.947    	     0.00000	     0.00000	     0.00000
   130.000    	  1991.0    	  130.00    	  2.0000    	  4.4583    	  1.1918    	  3.4974    	     0.00000	  138.50    	 0.12442    	 2.44862E+07	  14.000    	  27.100    	 2.44862E+07	 2.03172E+06	  12.907    	 0.50000    	 4.50000E-03	 5.20336E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.48552    	  186.62    	  93.310    	  93.310    	     0.00000	  93.310    	     0.00000	     0.00000	     0.00000
   131.000    	  1991.0    	  131.00    	  2.0000    	  4.5671    	  1.2777    	  3.4911    	     0.00000	  138.50    	 0.13244    	 2.43849E+07	  17.000    	  29.500    	 2.43849E+07	 2.21764E+06	  14.939    	 0.50000    	 4.50000E-03	 5.01727E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.53732    	  214.19    	  107.09    	  107.09    	     0.00000	  107.09    	     0.00000	     0.00000	     0.00000
   132.000    	  1991.0    	  132.00    	  2.0000    	  4.6850    	  1.4459    	  3.4586    	     0.00000	  138.50    	 0.14218    	 2.58763E+07	  16.500    	  31.000    	 2.58763E+07	 2.60091E+06	  17.157    	 0.50000    	 4.50000E-03	 4.97564E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.60697    	  243.98    	  121.99    	  121.99    	     0.00000	  121.99    	     0.00000	     0.00000	     0.00000
   133.000    	  1991.0    	  133.00    	  2.0000    	  4.7649    	  1.6751    	  3.3802    	     0.00000	  138.50    	 0.15206    	 2.55074E+07	  17.000    	  31.300    	 2.55074E+07	 2.85369E+06	  19.758    	 0.50000    	 4.50000E-03	 4.95479E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.68666    	  277.17    	  138.59    	  138.59    	     0.00000	  138.59    	     0.00000	     0.00000	     0.00000
   134.000    	  1991.0    	  134.00    	  2.0000    	  3.8514    	  1.5578    	  2.6101    	     0.00000	  138.50    	 0.16207    	 1.82255E+07	  17.000    	  31.500    	 1.82255E+07	 2.33896E+06	  22.611    	 0.50000    	 4.50000E-03	 4.94712E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.77810    	  314.57    	  157.28    	  157.28    	     0.00000	  157.28    	     0.00000	     0.00000	     0.00000
   135.000    	  1991.0    	  135.00    	  2.0000    	  3.7667    	  1.7761    	  2.4239    	     0.00000	  138.50    	 0.17207    	 1.82506E+07	  15.000    	  27.000    	 1.82506E+07	 2.59649E+06	  24.950    	 0.50000    	 4.50000E-03	 4.97233E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.88162    	  354.61    	  177.31    	  177.31    	     0.00000	  177.31    	     0.00000	     0.00000	     0.00000
   136.000    	  1991.0    	  136.00    	  2.0000    	  4.5874    	  2.2630    	  2.8117    	     0.00000	  138.50    	 0.18038    	 2.49245E+07	  17.000    	  30.000    	 2.49245E+07	 3.74598E+06	  27.547    	 0.50000    	 4.50000E-03	 4.87400E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.97904    	  401.74    	  200.87    	  200.87    	     0.00000	  200.87    	     0.00000	     0.00000	     0.00000
   137.000    	  1991.0    	  137.00    	  2.0000    	  2.7185    	  1.5387    	  1.5622    	     0.00000	  138.50    	 0.19028    	 1.16468E+07	  17.000    	  24.000    	 1.16468E+07	 2.06065E+06	  31.293    	 0.50000    	 4.45237E-03	 4.87224E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.1080    	  454.84    	  227.42    	  227.42    	     0.00000	  227.42    	     0.00000	     0.00000	     0.00000
   138.000    	  1991.0    	  138.00    	  2.0000    	  3.7472    	  2.2068    	  2.0964    	     0.00000	  138.50    	 0.19827    	 1.83206E+07	  16.300    	  30.500    	 1.83206E+07	 3.25626E+06	  33.354    	 0.50000    	 4.38956E-03	 4.62082E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.1616    	  502.76    	  251.38    	  251.38    	     0.00000	  251.38    	     0.00000	     0.00000	     0.00000
   139.000    	  1991.0    	  139.00    	  2.0000    	  4.2464    	  2.5973    	  2.2546    	     0.00000	  138.50    	 0.20803    	 2.23347E+07	  17.500    	  33.000    	 2.23347E+07	 4.16234E+06	  36.610    	 0.50000    	 4.31481E-03	 4.50497E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.2662    	  562.12    	  281.06    	  281.06    	     0.00000	  281.06    	     0.00000	     0.00000	     0.00000
   140.000    	  1991.0    	  140.00    	  3.0000    	  4.9202    	  3.2997    	  2.4649    	     0.00000	  138.50    	 0.21801    	 2.36872E+07	  19.500    	  32.300    	 2.36872E+07	 4.68436E+06	  40.772    	 0.50000    	 4.24065E-03	 4.40428E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.3823    	  627.73    	  313.86    	  313.86    	     0.00000	  313.86    	     0.00000	     0.00000	 5.00000E-02
