*     Rice grown in potential water production situation
*     Rice grown in potential N production situation
*     ORYZA model runs to simulate an experiment
*     Rice crop is transplanted
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* FSE driver info:
*     Year: 1991, day:  54, System start
*     Year: 1991, day: 155, System end
*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
 
TIME	YEAR	DOY	CROPSTA	ETD	TRC	EVSC	RAIN	RAINCU	DVS	RDD	TMIN	TMAX	DTR	RAPCDT	PARCUM	NFLV	SLA	SLASIM	LESTRS	LRSTRS	PCEW	NSP	LAI	WAGT	WST	WLVG	WLVD	WLV	WSO	WRR14	ZRT
 
   54.0000    	  1991.0    	  54.000    	     0.00000	  3.4714    	     0.00000	  3.4714    	  18.000    	     0.00000	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   55.0000    	  1991.0    	  55.000    	     0.00000	  4.1174    	     0.00000	  4.1174    	  6.0000    	  18.000    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   56.0000    	  1991.0    	  56.000    	     0.00000	  3.5657    	     0.00000	  3.5657    	  7.0000    	  24.000    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   57.0000    	  1991.0    	  57.000    	     0.00000	  4.2354    	     0.00000	  4.2354    	  8.0000    	  31.000    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   58.0000    	  1991.0    	  58.000    	     0.00000	  4.1366    	     0.00000	  4.1366    	     0.00000	  39.000    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   59.0000    	  1991.0    	  59.000    	  1.0000    	  4.6111    	     0.00000	  4.6111    	  1.0000    	  39.000    	     0.00000	 1.37240E+07	  22.500    	  31.500    	 1.37240E+07	 2.47565E+05	     0.00000	 0.50000    	 6.00000E-03	 0.10000    	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.10000    	 2.00000E-02	     0.00000	     0.00000	     0.00000	 1.00000E-02	     0.00000	     0.00000	 1.00000E-04
   60.0000    	  1991.0    	  60.000    	  2.0000    	  4.5825    	 0.31203    	  4.3253    	  45.000    	  40.000    	 1.20634E-02	 1.44190E+07	  22.500    	  30.000    	 1.44190E+07	 2.99234E+05	 0.24757    	 0.50000    	 6.00000E-03	 5.80800E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.11551    	  3.9777    	  1.9889    	  1.9889    	     0.00000	  1.9889    	     0.00000	     0.00000	     0.00000
   61.0000    	  1991.0    	  61.000    	  2.0000    	  4.3622    	 0.33344    	  4.0807    	  3.0000    	  85.000    	 2.41266E-02	 1.32920E+07	  24.000    	  30.000    	 1.32920E+07	 3.20014E+05	 0.54680    	 0.50000    	 6.00000E-03	 3.05624E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.13343    	  8.7318    	  4.3659    	  4.3659    	     0.00000	  4.3659    	     0.00000	     0.00000	     0.00000
   62.0000    	  1991.0    	  62.000    	  2.0000    	  4.5484    	 0.40919    	  4.2093    	  3.0000    	  88.000    	 3.66856E-02	 1.41270E+07	  23.000    	  29.500    	 1.41270E+07	 3.92269E+05	 0.86681    	 0.50000    	 6.00000E-03	 2.20837E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.15498    	  14.036    	  7.0179    	  7.0179    	     0.00000	  7.0179    	     0.00000	     0.00000	     0.00000
